geometry,base_name,description
"POLYGON ((-73.901425137361684 40.941784591795553 0,-73.899458826234536 40.941692905888779 0,-73.899814189405049 40.944124807024252 0,-73.900838820352973 40.944153787436683 0,-73.901425137361684 40.941784591795553 0))",YO,
"POLYGON ((-73.833116497856366 40.8680695520301 0,-73.835662984234403 40.867360683654738 0,-73.834858264638115 40.865539157530833 0,-73.833278084274994 40.864550729024792 0,-73.831425483002263 40.865141091076012 0,-73.833116497856366 40.8680695520301 0))",GH,
"POLYGON ((-73.824759808419046 40.883119485207693 0,-73.82424682776923 40.882908825803618 0,-73.822428050337024 40.881476450798623 0,-73.820757858921468 40.881401714866662 0,-73.82066928536554 40.881716220010439 0,-73.82043680318057 40.883360287141322 0,-73.820525563614282 40.88421582818615 0,-73.820635931378817 40.88476098585803 0,-73.821445776080537 40.885064135909793 0,-73.825426483197049 40.883872147697673 0,-73.824759808419046 40.883119485207693 0))",EC,
"POLYGON ((-74.16587670703592 40.5750293337165 0,-74.167290204761059 40.573287812505662 0,-74.166644888918242 40.572791970325071 0,-74.164337429196067 40.574054984457547 0,-74.164375973893115 40.57432719049195 0,-74.16587670703592 40.5750293337165 0))",YU,
"POLYGON ((-74.166925108487973 40.572371763026972 0,-74.166856158601306 40.572231852660543 0,-74.166619505033395 40.572314356147103 0,-74.163874267903452 40.573873596624338 0,-74.164019344687247 40.573993800564537 0,-74.166925108487973 40.572371763026972 0))",YU Lot,
"POLYGON ((-74.238920629036187 40.531927900476781 0,-74.239033893876339 40.530885023394248 0,-74.239103766485911 40.530529197614037 0,-74.239139334084712 40.530372301367223 0,-74.236050814783269 40.529957354000622 0,-74.235842272994645 40.531540260909267 0,-74.238920629036187 40.531927900476781 0))",CH,
"POLYGON ((-74.195630751289556 40.60119911892302 0,-74.196363027446409 40.60082420622404 0,-74.196945910765137 40.600087324114249 0,-74.196573791909145 40.59920625110685 0,-74.195400307554777 40.598962948002409 0,-74.194101639341241 40.599590782825771 0,-74.194085197456033 40.599634609201139 0,-74.195630751289556 40.60119911892302 0))",MA,
"POLYGON ((-74.001563755027448 40.761218599080223 0,-74.001897266969323 40.760753930525539 0,-73.999370407083063 40.759702137387812 0,-73.999018599933336 40.760160610702883 0,-74.001563755027448 40.761218599080223 0))",MQ,
"POLYGON ((-73.842621095547941 40.823761986856603 0,-73.842234245166068 40.821867541749143 0,-73.842167323334849 40.821707359191997 0,-73.840074442883648 40.821963101014589 0,-73.841124734201685 40.823967166518422 0,-73.842598850263144 40.823791590070627 0,-73.842621095547941 40.823761986856603 0))",ZERGA,
"POLYGON ((-73.993864070959233 40.593652176763442 0,-73.992576107554243 40.59289155693812 0,-73.991123487860051 40.594317790477056 0,-73.992386383170441 40.595087133657309 0,-73.993864070959233 40.593652176763442 0))",UP,
